cp1,cp2,age
1D7CA,1D7CB,5.0
1D7CE,1D7FF,3.1
1D800,1DAAF,8.0
1DF00,1DF1E,14.0
1DF25,1DF2A,15.0
1E000,1E02A,9.0
1E030,1E08F,15.0
1E100,1E14F,12.0
1E290,1E2AE,14.0
1E2C0,1E2FF,12.0
1E4D0,1E4F9,15.0
1E7E0,1E7FE,14.0
1E800,1E8D6,7.0
1E900,1E94A,9.0
1E94B,1E94B,12.0
1E950,1E95F,9.0
1EC71,1ECB4,11.0
1ED01,1ED3D,12.0
1EE00,1EEF1,6.1
1F000,1F093,5.1
1F0A0,1F0BE,6.0
1F0BF,1F0BF,7.0
1F0C1,1F0DF,6.0
1F0E0,1F0F5,7.0
1F100,1F10A,5.2
1F10B,1F10C,7.0
1F10D,1F10F,13.0
1F110,1F12E,5.2
1F12F,1F12F,11.0
1F130,1F130,6.0
1F131,1F131,5.2
1F132,1F13C,6.0
1F13D,1F13D,5.2
1F13E,1F13E,6.0
1F13F,1F13F,5.2
1F140,1F141,6.0
1F142,1F142,5.2
1F143,1F145,6.0
1F146,1F146,5.2
1F147,1F149,6.0
1F14A,1F14E,5.2
1F14F,1F156,6.0
1F157,1F157,5.2
1F158,1F15E,6.0
1F15F,1F15F,5.2
1F160,1F169,6.0
1F16A,1F16B,6.1
1F16C,1F16C,12.0
1F16D,1F16F,13.0
1F170,1F178,6.0
1F179,1F179,5.2
1F17A,1F17A,6.0
1F17B,1F17C,5.2
1F17D,1F17E,6.0
1F17F,1F17F,5.2
1F180,1F189,6.0
1F18A,1F18D,5.2
1F18E,1F18F,6.0
1F190,1F190,5.2
1F191,1F19A,6.0
1F19B,1F1AC,9.0
1F1AD,1F1AD,13.0
1F1E6,1F1FF,6.0
1F200,1F200,5.2
1F201,1F202,6.0
1F210,1F231,5.2
1F232,1F23A,6.0
1F23B,1F23B,9.0
1F240,1F248,5.2
1F250,1F251,6.0
1F260,1F265,10.0
1F300,1F320,6.0
1F321,1F32C,7.0
1F32D,1F32F,8.0
1F330,1F335,6.0
1F336,1F336,7.0
1F337,1F37C,6.0
1F37D,1F37D,7.0
1F37E,1F37F,8.0
1F380,1F393,6.0
1F394,1F39F,7.0
1F3A0,1F3C4,6.0
1F3C5,1F3C5,7.0
1F3C6,1F3CA,6.0
1F3CB,1F3CE,7.0
1F3CF,1F3D3,8.0
1F3D4,1F3DF,7.0
1F3E0,1F3F0,6.0
1F3F1,1F3F7,7.0
1F3F8,1F3FF,8.0
1F400,1F43E,6.0
1F43F,1F43F,7.0
1F440,1F440,6.0
1F441,1F441,7.0
1F442,1F4F7,6.0
1F4F8,1F4F8,7.0
1F4F9,1F4FC,6.0
1F4FD,1F4FE,7.0
1F4FF,1F4FF,8.0
1F500,1F53D,6.0
1F53E,1F53F,7.0
1F540,1F543,6.1
1F544,1F54A,7.0
1F54B,1F54F,8.0
1F550,1F567,6.0
1F568,1F579,7.0
1F57A,1F57A,9.0
1F57B,1F5A3,7.0
1F5A4,1F5A4,9.0
1F5A5,1F5FA,7.0
1F5FB,1F5FF,6.0
1F600,1F600,6.1
1F601,1F610,6.0
1F611,1F611,6.1
1F612,1F614,6.0
1F615,1F615,6.1
1F616,1F616,6.0
1F617,1F617,6.1
1F618,1F618,6.0
1F619,1F619,6.1
1F61A,1F61A,6.0
1F61B,1F61B,6.1
1F61C,1F61E,6.0
1F61F,1F61F,6.1
1F620,1F625,6.0
1F626,1F627,6.1
1F628,1F62B,6.0
1F62C,1F62C,6.1
1F62D,1F62D,6.0
1F62E,1F62F,6.1
1F630,1F633,6.0
1F634,1F634,6.1
1F635,1F640,6.0
1F641,1F642,7.0
1F643,1F644,8.0
1F645,1F64F,6.0
1F650,1F67F,7.0
1F680,1F6C5,6.0
1F6C6,1F6CF,7.0
1F6D0,1F6D0,8.0
1F6D1,1F6D2,9.0
1F6D3,1F6D4,10.0
1F6D5,1F6D5,12.0
1F6D6,1F6D7,13.0
1F6DC,1F6DC,15.0
1F6DD,1F6DF,14.0
1F6E0,1F6F3,7.0
1F6F4,1F6F6,9.0
1F6F7,1F6F8,10.0
